Symbol,Name,Exchange,Sector,Industry
ANDAW,Andina Acquisition Corp. II,NYSE,Finance,Business Services
ANDE,The Andersons Inc.,NYSE,Consumer Services,Farming/Seeds/Milling
ANET,Arista Networks Inc.,NASDAQ,Technology,Computer Communications Equipment
ANF,Abercrombie & Fitch Company,NASDAQ,Consumer Services,Clothing/Shoe/Accessory Stores
ANFI,Amira Nature Foods Ltd,NASDAQ,Consumer Non-Durables,Packaged Foods
ANGI,Angie's List Inc.,NYSE,Consumer Services,Advertising
ANGO,AngioDynamics Inc.,NYSE,Health Care,Medical/Dental Instruments
ANH,Anworth Mortgage Asset  Corporation,NASDAQ,Consumer Services,Real Estate Investment Trusts
ANIK,Anika Therapeutics Inc.,NYSE,Health Care,Medical/Dental Instruments
ANIP,ANI Pharmaceuticals Inc.,NYSE,Health Care,Major Pharmaceuticals
ANSS,ANSYS Inc.,NYSE,Technology,Computer Software: Prepackaged Software
ANTH,Anthera Pharmaceuticals Inc.,NYSE,Health Care,Major Pharmaceuticals
ANTM,Anthem Inc.,NASDAQ,Health Care,Medical Specialities
ANTX,Anthem Inc.,NASDAQ,Health Care,Medical Specialities
ANW,Aegean Marine Petroleum Network Inc.,NASDAQ,Energy,Oil Refining/Marketing
ANY,Sphere 3D Corp.,NYSE,Technology,EDP Services
AOI,Alliance One International Inc.,NASDAQ,Consumer Services,Farming/Seeds/Milling
AON,Aon plc,NASDAQ,Finance,Specialty Insurers
AOS,Smith (A.O.) Corporation,NASDAQ,Consumer Durables,Consumer Electronics/Appliances
AOSL,Alpha and Omega Semiconductor Limited,NYSE,Technology,Semiconductors
AP,Ampco-Pittsburgh Corporation,NASDAQ,Capital Goods,Fluid Controls
APA,Apache Corporation,NASDAQ,Energy,Oil & Gas Production
APAM,Artisan Partners Asset Management Inc.,NASDAQ,Finance,Investment Managers
APC,Anadarko Petroleum Corporation,NASDAQ,Energy,Oil & Gas Production
APD,Air Products and Chemicals Inc.,NASDAQ,Basic Industries,Major Chemicals
APDN,Applied DNA Sciences Inc,NYSE,Consumer Services,Other Consumer Services
APDNW,Applied DNA Sciences Inc,NYSE,Consumer Services,Other Consumer Services
APEI,American Public Education Inc.,NYSE,Consumer Services,Other Consumer Services
APH,Amphenol Corporation,NASDAQ,Capital Goods,Electrical Products
APHB,AmpliPhi Biosciences Corporation,AMEX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APIC,Apigee Corporation,NYSE,Technology,Computer Software: Prepackaged Software
APLE,Apple Hospitality REIT Inc.,NASDAQ,Consumer Services,Real Estate Investment Trusts
APLP,Archrock Partners L.P.,NYSE,Public Utilities,Natural Gas Distribution
APO,Apollo Global Management LLC,NASDAQ,Finance,Investment Managers
APOG,Apogee Enterprises Inc.,NYSE,Capital Goods,Auto Parts:O.E.M.
APOL,Apollo Education Group Inc.,NYSE,Consumer Services,Other Consumer Services
APPF,AppFolio Inc.,NYSE,Technology,Computer Software: Prepackaged Software
APPS,Digital Turbine Inc.,NYSE,Miscellaneous,Multi-Sector Companies
APPY,Venaxis Inc.,NYSE,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
APRI,Apricus Biosciences Inc,NYSE,Health Care,Major Pharmaceuticals
APT,Alpha Pro Tech Ltd.,AMEX,Health Care,Industrial Specialties
APTO,Aptose Biosciences Inc.,NYSE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APTS,Preferred Apartment Communities Inc.,NASDAQ,Consumer Services,Real Estate Investment Trusts
APU,AmeriGas Partners L.P.,NASDAQ,Consumer Services,Other Specialty Stores
APWC,Asia Pacific Wire & Cable Corporation Limited,NYSE,Basic Industries,Telecommunications Equipment
AQMS,Aqua Metals Inc.,NYSE,Basic Industries,Metal Fabrications
AQXP,Aquinox Pharmaceuticals Inc.,NYSE,Health Care,Major Pharmaceuticals
AR,Antero Resources Corporation,NASDAQ,Energy,Oil & Gas Production
ARA,American Renal Associates Holdings Inc,NASDAQ,Health Care,Hospital/Nursing Management
ARAY,Accuray Incorporated,NYSE,Health Care,Medical/Dental Instruments
ARC,ARC Document Solutions Inc.,NASDAQ,Consumer Services,Professional Services
ARCB,ArcBest Corporation,NYSE,Transportation,Trucking Freight/Courier Services
ARCI,Appliance Recycling Centers of America Inc.,NYSE,Consumer Services,Home Furnishings
ARCO,Arcos Dorados Holdings Inc.,NASDAQ,Consumer Services,Restaurants
ARCW,ARC Group Worldwide Inc.,NYSE,Capital Goods,Metal Fabrications
ARCX,Arc Logistic Partners LP,NASDAQ,Energy,Oil Refining/Marketing
ARDM,Aradigm Corporation,NYSE,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ARDX,Ardelyx Inc.,NYSE,Health Care,Major Pharmaceuticals
ARE,Alexandria Real Estate Equities Inc.,NASDAQ,Consumer Services,Real Estate Investment Trusts
ARES,Ares Management L.P.,NASDAQ,Finance,Investment Managers
AREX,Approach Resources Inc.,NYSE,Energy,Oil & Gas Production
ARG,Airgas Inc.,NASDAQ,Capital Goods,Industrial Machinery/Components
ARGS,Argos Therapeutics Inc.,NYSE,Health Care,Major Pharmaceuticals
